pname,pid,grid_id,pattern_id,num_clicks,uLSC,uInt,fLSC_nondetrended,fInt_nondetrended,time_taken,final_grid,fLSC,fInt
jzptv7f8,1,1,53,81,0.9566962770626366,134,0.9566962770626366,134,35,111111110000000000011111111111111001111111111100111111111110110000000000011011111111101001111101111100101111111010110000110000011010111110101001111001011100101011101010110001011100011010101101010110000111000011010101010101001111111111100101010010101001111111111100101010010101001111111111100101010010100001111101111100001010010110001111001111101001010010110011111001011101000010010000111110100011110010010010110101111000111101011010010101001111111111100101010010101001111111111100101010010101001111111111100101010101010110000010000011010101101010110000110000011010101110101001111001011100101011111010110001011100011010111111101001111000111100101111111110110000000000011011111111111001111111111100111111111111110000000000011111111,0.2208069832788504,36.2
jzptv7f8,1,2,50,81,0.18366463028638727,10,0.18366463028638727,10,33,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011000000000000000000000000000000000000000000000000001000100000000000000000000000000001000000000000000000000001011100000000000000000100100001100000000000000000100001101000000000000000000001011000000000000000000000000111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,-0.466274656888298,-47.4
jzptv7f8,1,3,54,81,0.9662936750968476,64,0.9662936750968476,64,40,110000000100000001000000010001110111100000001111011101101100010101000101010001011010011110111000111011110101011011000000000000000101101010100111011101110111010101000110110001000100010110000010101001111000111101010101011101101100000001011011101010001010011101110101000101111100011011000101100011111000101010100111010101010001001101110110110110111011011000001000101001010001000000000000000001111010001000000000001000101000110111011011001101110111101110101010001000101010100000001100011111111100011111000111101000101010001010001000100011011101011101111011101110111010101010101000000000000000110000000111110111000111011110101010100010101000101010001101011110111100000001111011101010000000101000101000000011111110111111000111111011111,0.2595547535965431,9.9
jzptv7f8,1,4,52,70,0.8986092320669834,78,1.0252363260160056,84,29,222222000001111100000222222222222000011000110000222222222222000100101001000222222222000001100111001100222222222000010011111110010222222222000110010111010011222222000001001111111111100100000000011000111101111000110000000100100010010010001001000001100110011111110011001100010011111100111001111110010110010110100101001011010011101111110111111111011111101100111101110101011101111001101111110111111111011111101110010110100101001011010011010011111100111001111110010001100110011111110011001100000100100010010010001001000000011000111101111000110000000001001111111111100100000000000110010111010011000222000000010011111110010000222000000001100111001100000222000000222100101001000222222000000222011000110000222222000000222001111100000222222,0.1537781361422481,-93.7
jzptv7f8,1,5,55,81,0.9717596220077629,103,0.9717596220077629,103,31,001011000111010111000110100001010001011000110100010100111001111100010001111100111000100111010111010111001000110010011101101101110010011101001110011101110011100101001101000111101111000101100001111001111101111100111100011110010000101000010011110101010110001101100011010101110101110011101110011101011110011110111000111011110011000111111110010011111111000101100000000111000000001101000111111110010011111111000110011110111000111011110011110101110011101110011101011101010110001101100011010101011110010000101000010011110001111001111101111100111100001101000111101111000101100101001110011101110011100101110010011101101101110010011000100111010111010111001000111001111100010001111100111001010001011000110100010100001011000111010111000110100,0.3938595738460074,63.8
jzptv7f8,1,6,51,81,0.5366913127546721,30,0.5366913127546721,30,36,111011101111111111101110111100000001111111111100000001100010111111111111111010001000000111111111111111000000101011111111111111111110101100011111111111111111110001101111111111111111111111101001111111111111111111111100111111111111111111111111111111111111111111111111111111111111111111100001111111111111111111111101101111111111111111111111110011111111111111111111111110011111111111111111111111101101111111111111111111111100001111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111001111111111111111111111100101111111111111111111111101100011111111111111111110001101011111111111111111110101000000111111111111111000000100010111111111111111010001100000001111111111100000001111011101111111111101110111,-0.2581147089556584,-51.0
jzptv7f8,1,7,56,81,0.9767150258463972,98,0.9767150258463972,98,64,000000101010011001010001000000000001010000111001101011010101111001110110011010001000000011010100101000010100011000100111001000100010000010111100111011100000010000010001011000000010011110111111001000000100011001110101000100001111100010101010110011001010111010111100101000100001000001100111111100000110101010000000011010010011000000110000101100111111000010100011111000011001111100001111101111110100101110111001100000111101000101111001000000010111111001111110010001010011111111010111011100000101111111111000010001000111101100011010111000100000011001100110110011110010100100101111110001111110001111101101111100000011100011111010001011011010101010010100001111010110000110011000111111111011101100011010000111001011100000011000010111000,0.3567821463394166,55.2
jzptv7f8,1,8,40,81,0.8559935464734297,29,0.8559935464734297,29,43,111111111111111111111111111100000000000000000000000001101111111111111111111111101101000000000000000000000101101011111111111111111110101101010000000000000000010101101010000000000000000010101101010010111111111010010101101010000111111111000010101101010011000000000110010101101010011011000110110010101101010011010111010110010101101010011001101100110010101101010011001010100110010101101010011001101100110010101101010011010111010110010101101010011011000110110010101101010011000000000110010101101010000111111111000010101101010010111111111010010101101010000000000000000010101101010000000000000000010101101011111111111111111110101101000000000000000000000101101111111111111111111111101100000000000000000000000001111111111111111111111111111,0.1328579341296266,-51.099999999999994
jzptv7f8,1,9,37,81,0.3375488009445939,621,0.3375488009445939,621,33,010100010101010101010001010101000101010000010101000101010101010101010101010101010101010101010101010101010101000101010101010101010101000001010101010101010101010100010101010101010101010101010101010100010101010001010101010101000101010101000101010101010101010101010101010101010101010101010101010101010101010101010101010101010101000101010101010101010101000101010101010101010101010101000101010101010101010101000101010101010101010101010101010101010101010101010101010101010101010101010101010101010101000101010101000101010101010100010101010001010101010101010101010101010101010001010101010101010101010100000101010101010101010101000101010101010101010101010101010101010101010101010101010101000101010000010101000101010100010101010101010001010,-0.2383857458093535,566.5
jzptv7f8,1,10,36,81,0.02181200564814873,5,0.02181200564814873,5,46,100000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000001,-0.7455826213564558,-71.1
